"Date","Description","ChkRef","Amount","Balance"
11/20/2023,XX7834 POS PURCHASE WALGREENS STORE LITTLE ROCK AR 99999999 214092,,-$26.06,"$13,399.99"
11/20/2023,XX7834 POS PURCHASE JIFFY LUBE #4089 LITTLE ROCK AR 001 332413020146,,-$179.84,"$13,220.15"
11/21/2023,ONLINE BANKING TRANSFER FROM x3799 11/21/23,,$60.00,"$13,280.15"
11/21/2023,XX7834 POS PURCHASE POPEYES #12974 LITTLE ROCK AR 00006169 010164,,-$12.21,"$13,267.94"
11/21/2023,XX7834 POS PURCHASE TST* CHIS CHINES Little Rock AR 00000000 072171,,-$55.51,"$13,212.43"
11/22/2023,XX7834 POS PURCHASE APPLE.COM/BILL 866-712-7753 CA 00000000 080278,,-$4.99,"$13,207.44"
11/27/2023,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 61866310 066310,,-$11.15,"$13,196.29"
11/27/2023,XX7834 POS PURCHASE SLIM CHICKENS ST LITTLE ROCK AR 00005375 008222,,-$15.47,"$13,180.82"
11/27/2023,XX7834 POS PURCHASE 1067 GREAT CLIPS LITTLE ROCK AR 03190274 023631,,-$25.00,"$13,155.82"
11/27/2023,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 29132682 032682,,-$34.86,"$13,120.96"
11/28/2023,XX7834 POS PURCHASE WALGREENS STORE LITTLE ROCK AR 99999999 251314,,-$26.59,"$13,094.37"
11/28/2023,XX7834 ATM WITHDRAWAL BANK OZK LITTLE ROCK AR AR000099 005148,,-$80.00,"$13,014.37"
11/29/2023,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 000953,,-$10.87,"$13,003.50"
11/29/2023,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 050560,,-$24.22,"$12,979.28"
11/30/2023,Telcoe Federal C PAYROLL 15amA3LY4iashyy,,$184.70,"$13,163.98"
11/30/2023,TELCOE FEDERAL C PAYROLL 04838100014957X,,"$1,286.16","$14,450.14"
12/04/2023,XX7834 POS PURCHASE AJI RAMEN BAR. LITTLE ROCK AR 00015555 088363,,-$34.29,"$14,415.85"
12/05/2023,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 49614931 014931,,-$12.37,"$14,403.48"
12/08/2023,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 35165866 065866,,-$32.79,"$14,370.69"
12/11/2023,XX7834 POS PURCHASE WL *STEAM PURCHA 425-889-9642 WA 00000000 054656,,-$9.99,"$14,360.70"
12/11/2023,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 020969,,-$24.88,"$14,335.82"
12/11/2023,XX7834 ATM WITHDRAWAL BANK OZK LITTLE ROCK AR AR000099 005945,,-$120.00,"$14,215.82"
12/12/2023,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 44785272 085272,,-$10.28,"$14,205.54"
12/12/2023,XX7834 POS PURCHASE TST* CHIS CHINES Little Rock AR 00000000 058802,,-$46.63,"$14,158.91"
12/12/2023,XX7834 POS PURCHASE Prime Medical Gr Little Rock AR 05607759 015605,,-$99.24,"$14,059.67"
12/13/2023,XX7834 POS PURCHASE SLIM CHICKENS ST LITTLE ROCK AR 00005375 006149,,-$11.05,"$14,048.62"
12/14/2023,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 090436,,-$5.96,"$14,042.66"
12/15/2023,TELCOE FEDERAL C PAYROLL 05056200003951X,,"$1,286.16","$15,328.82"
12/18/2023,XX7834 POS PURCHASE McDonalds 34293 150-1821038 AR 00000000 099304,,-$5.63,"$15,323.19"
12/18/2023,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 096882,,-$5.96,"$15,317.23"
12/18/2023,XX7834 POS PURCHASE POPEYES #12974 LITTLE ROCK AR 00006169 010724,,-$15.70,"$15,301.53"
12/18/2023,XX7834 POS PURCHASE BWW 3449 LITTLE 501-8685279 AR 32663729 004047,,-$49.98,"$15,251.55"
12/19/2023,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 50719470 019470,,-$12.37,"$15,239.18"
12/20/2023,XX7834 POS PURCHASE WALGREENS STORE LITTLE ROCK AR 99999999 418467,,-$20.40,"$15,218.78"
12/20/2023,XX7834 POS PURCHASE AMZN Mktp US*EU2 Amzn.com/bill WA 00000000 036563,,-$37.61,"$15,181.17"
12/22/2023,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 069650,,-$5.96,"$15,175.21"
12/22/2023,XX7834 POS PURCHASE KROGER FUEL #562 LITTLE ROCK AR 99999999 342613,,-$22.13,"$15,153.08"
12/22/2023,XX7834 POS PURCHASE TST* ROCK N ROLL LITTLE ROCK AR 22347151 047151,,-$23.70,"$15,129.38"
12/26/2023,XX7834 POS PURCHASE SLIM CHICKENS ST LITTLE ROCK AR 00005375 006174,,-$11.05,"$15,118.33"
12/26/2023,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 000540,,-$11.66,"$15,106.67"
12/27/2023,XX7834 POS PURCHASE 3488 GREAT CLIPS LITTLE ROCK AR 03192463 081792,,-$26.00,"$15,080.67"
12/27/2023,XX7834 POS PURCHASE AMZN Mktp US*DK2 Amzn.com/bill WA 00000000 090853,,-$56.95,"$15,023.72"
12/28/2023,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 025489,,-$5.96,"$15,017.76"
12/28/2023,XX7834 POS PURCHASE JERSEY MIKES ONL 732-223-4044 NJ 00000000 020763,,-$11.12,"$15,006.64"
12/28/2023,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 31784892 084892,,-$53.19,"$14,953.45"
12/29/2023,TELCOE FEDERAL C PAYROLL 05246300006119X,,"$1,286.16","$16,239.61"
01/02/2024,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 62854315 054315,,-$10.28,"$16,229.33"
01/03/2024,XX7834 POS PURCHASE DAVIDS BURGERS B LITTLE ROCK AR 00001336 000064,,-$11.15,"$16,218.18"
01/04/2024,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 003795,,-$5.96,"$16,212.22"
01/04/2024,XX7834 POS PURCHASE APPLE.COM/BILL 866-712-7753 CA 00000000 078812,,-$7.99,"$16,204.23"
01/04/2024,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 470814,,-$21.73,"$16,182.50"
01/08/2024,CONSUMER MOBILE DEPOSIT,,$26.31,"$16,208.81"
01/08/2024,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 010622,,-$5.96,"$16,202.85"
01/08/2024,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 62853465 053465,,-$10.28,"$16,192.57"
01/08/2024,XX7834 POS PURCHASE DOMINO'S 5327 LITTLE ROCK AR 36421951 021951,,-$18.62,"$16,173.95"
01/08/2024,XX7834 POS PURCHASE POPEYES #12974 LITTLE ROCK AR 00006169 010269,,-$26.21,"$16,147.74"
01/08/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 30376732 076732,,-$83.48,"$16,064.26"
01/10/2024,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 066582,,-$5.96,"$16,058.30"
01/10/2024,XX7834 CHECKING PYMNT APPLE COM BILL CUPERTINO CA 003 400922817612,,-$10.74,"$16,047.56"
01/12/2024,TELCOE FEDERAL C PAYROLL 05472400010817X,,"$1,292.55","$17,340.11"
01/12/2024,TELCOE FEDERAL C PAYROLL 05561100003626X,,"$1,292.55","$18,632.66"
01/12/2024,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 060349,,-$5.96,"$18,626.70"
01/12/2024,XX7834 POS PURCHASE DOMINO'S 5327 501-247-7856 AR 30655372 055372,,-$26.62,"$18,600.08"
01/12/2024,TELCOE FEDERAL C REVERSAL 05472400010806X,,"-$1,292.55","$17,307.53"
01/16/2024,XX7834 POS PURCHASE ZAXBY'S #50103 501-313-5268 AR 00000000 096431,,-$14.25,"$17,293.28"
01/16/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 30642232 042232,,-$90.51,"$17,202.77"
01/18/2024,XX7834 POS PURCHASE SLIM CHICKENS ST LITTLE ROCK AR 00005375 014385,,-$11.05,"$17,191.72"
01/22/2024,XX7834 POS PURCHASE SHELL OIL 100105 LITTLE ROCK AR 00000000 062220,,-$3.81,"$17,187.91"
01/22/2024,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 60041659 041659,,-$10.28,"$17,177.63"
01/22/2024,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 683265,,-$24.10,"$17,153.53"
01/22/2024,XX7834 POS PURCHASE POPEYES #12974 LITTLE ROCK AR 00006169 010381,,-$26.21,"$17,127.32"
01/29/2024,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 048048,,-$5.96,"$17,121.36"
01/29/2024,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 68499545 099545,,-$10.28,"$17,111.08"
01/29/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 32323120 023120,,-$99.40,"$17,011.68"
01/29/2024,WITHDRAWAL,,"-$15,000.00","$2,011.68"
01/30/2024,DELUXE CHECK CHECK/ACC.,,-$26.00,"$1,985.68"
01/31/2024,TELCOE FEDERAL C PAYROLL 06030500000630X,,"$1,292.55","$3,278.23"
02/02/2024,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 080048,,-$24.36,"$3,253.87"
02/05/2024,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 69545064 045064,,-$10.28,"$3,243.59"
02/05/2024,XX7834 POS PURCHASE JERSEY MIKES ONL 732-223-4044 NJ 00000000 017524,,-$12.34,"$3,231.25"
02/05/2024,XX7834 POS PURCHASE DOMINO'S 5327 501-247-7856 AR 29000440 000440,,-$23.52,"$3,207.73"
02/06/2024,XX7834 POS PURCHASE McDonalds 34293 150-1821038 AR 00000000 037908,,-$8.83,"$3,198.90"
02/06/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 32861442 061442,,-$39.01,"$3,159.89"
02/07/2024,XX7834 CHECKING PYMNT APPLE COM BILL CUPERTINO CA 003 403815638893,,-$2.14,"$3,157.75"
02/07/2024,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 006001,,-$5.96,"$3,151.79"
02/09/2024,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 097308,,-$5.96,"$3,145.83"
02/12/2024,XX7834 POS PURCHASE KROGER #622 LITTLE ROCK AR 36280573 080573,,-$4.93,"$3,140.90"
02/12/2024,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 057905,,-$5.96,"$3,134.94"
02/12/2024,XX7834 POS PURCHASE McDonalds 34293 150-1821038 AR 00000000 070208,,-$6.06,"$3,128.88"
02/12/2024,XX7834 POS PURCHASE JERSEY MIKES ONL 732-223-4044 NJ 00000000 013082,,-$10.34,"$3,118.54"
02/12/2024,XX7834 POS PURCHASE CHICK-FIL-A #027 501-228-0404 AR 1 086457,,-$11.99,"$3,106.55"
02/12/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 34523370 023370,,-$70.07,"$3,036.48"
02/13/2024,XX7834 POS PURCHASE JIMMY JOHNS - 15 501-372-1600 AR 42459524 059524,,-$10.28,"$3,026.20"
02/13/2024,XX7834 POS PURCHASE Subway 27464 Little Rock AR 75475887 003905,,-$18.04,"$3,008.16"
02/13/2024,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 605844,,-$24.90,"$2,983.26"
02/15/2024,TELCOE FEDERAL C PAYROLL 06239200046945X,,"$1,292.55","$4,275.81"
02/15/2024,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 025156,,-$5.96,"$4,269.85"
02/15/2024,CAPITAL ONE CRCARDPMT 3WYISVZJY6B2NK2,,-$105.43,"$4,164.42"
02/16/2024,XX7834 POS PURCHASE McDonalds 34293 150-1821038 AR 00000000 084408,,-$5.63,"$4,158.79"
02/16/2024,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 097774,,-$5.96,"$4,152.83"
02/16/2024,XX7834 POS PURCHASE POPEYES #12974 LITTLE ROCK AR 00006169 010140,,-$15.70,"$4,137.13"
02/20/2024,XX7834 POS PURCHASE CHICK-FIL-A #048 501-436-6146 AR 1 033254,,-$5.96,"$4,131.17"
02/20/2024,XX7834 POS PURCHASE SLIM CHICKENS ST LITTLE ROCK AR 00005375 014442,,-$14.80,"$4,116.37"
02/20/2024,CAPITAL ONE MOBILE PMT 3WZKQ09AQO63C8Y,,-$56.71,"$4,059.66"
02/21/2024,XX7834 POS PURCHASE McDonalds 34293 150-1821038 AR 00000000 055208,,-$5.74,"$4,053.92"
02/21/2024,XX7834 POS PURCHASE CHICK-FIL-A #027 501-228-0404 AR 1 055524,,-$10.83,"$4,043.09"
02/21/2024,XX7834 POS PURCHASE FSP*ARKANSAS SKA LITTLE ROCK AR 33944304 044304,,-$12.00,"$4,031.09"
02/21/2024,XX7834 POS PURCHASE GANDOLFOS DELI 501-7730415 AR 77468520 080397,,-$14.05,"$4,017.04"
02/21/2024,XX7834 POS PURCHASE DOMINO'S 5327 501-247-7856 AR 00000000 076175,,-$15.53,"$4,001.51"
02/21/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 33944312 044312,,-$20.82,"$3,980.69"
02/23/2024,XX7834 POS PURCHASE AMAZON.COM*RZ7BF SEATTLE WA 00000000 011539,,-$36.54,"$3,944.15"
02/23/2024,XX7834 POS PURCHASE LIQUOR ROCK LLC LITTLE ROCK AR 83390401 476532,,-$103.71,"$3,840.44"
02/26/2024,XX7834 POS PURCHASE PARKMOBILE 770-818-9036 GA 00000000 083596,,-$2.45,"$3,837.99"
02/26/2024,XX7834 POS PURCHASE DAVIDS BURGERS B LITTLE ROCK AR 00001336 000127,,-$11.15,"$3,826.84"
02/26/2024,XX7834 POS PURCHASE FLYING FISH NO. 501-3753474 AR 00000000 020716,,-$22.14,"$3,804.70"
02/26/2024,XX7834 POS PURCHASE AJI RAMEN BAR. LITTLE ROCK AR 00015555 016066,,-$24.97,"$3,779.73"
02/26/2024,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 969480,,-$27.07,"$3,752.66"
02/26/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 80062307 007504,,-$41.26,"$3,711.40"
02/27/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 33755692 055692,,-$98.34,"$3,613.06"
02/29/2024,IRS TREAS 310 TAX REF XXXXXXXXXXX0918,,$336.00,"$3,949.06"
02/29/2024,TELCOE FEDERAL C PAYROLL 06410600009371X,,$526.42,"$4,475.48"
03/01/2024,XX7834 POS PURCHASE PAR*TACOS 4 LIFE LITTLE ROCK AR 18532381 032381,,-$17.02,"$4,458.46"
03/01/2024,XX7834 POS PURCHASE 3488 GREAT CLIPS LITTLE ROCK AR 03192463 087149,,-$26.00,"$4,432.46"
03/04/2024,ARSTTAXRFD STATE OF ARK 24*A*XXXXXX7372 *0630,,$286.00,"$4,718.46"
03/04/2024,XX7834 POS PURCHASE DAVIDS BURGERS B LITTLE ROCK AR 00001336 000125,,-$11.15,"$4,707.31"
03/04/2024,XX7834 POS PURCHASE JERSEY MIKES ONL HTTPS//WWW.JE NJ 00000000 028520,,-$11.34,"$4,695.97"
03/04/2024,XX7834 POS PURCHASE Subway 24844 Little Rock AR 75499498 010105,,-$17.59,"$4,678.38"
03/04/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 36309703 009703,,-$76.04,"$4,602.34"
03/07/2024,XX7834 POS PURCHASE CHICK-FIL-A #027 501-228-0404 AR 1 025080,,-$19.30,"$4,583.04"
03/08/2024,XX7834 POS PURCHASE McDonalds 34293 150-1821038 AR 00000000 005608,,-$10.04,"$4,573.00"
03/11/2024,XX7834 CHECKING PYMNT APPLE COM BILL CUPERTINO CA 003 406915538097,,-$1.06,"$4,571.94"
03/12/2024,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 534806,,-$27.53,"$4,544.41"
03/14/2024,XX7834 CHECKING PYMNT APPLE COM BILL CUPERTINO CA 003 407415809860,,-$1.06,"$4,543.35"
03/15/2024,TELCOE FEDERAL C PAYROLL 06593300005588X,,$586.77,"$5,130.12"
03/18/2024,XX7834 POS PURCHASE DAVIDS BURGERS B LITTLE ROCK AR 00001336 000135,,-$14.58,"$5,115.54"
03/18/2024,XX7834 POS PURCHASE Subway 27464 Little Rock AR 75475887 038705,,-$15.64,"$5,099.90"
03/18/2024,XX7834 POS PURCHASE CHICK-FIL-A #027 501-228-0404 AR 1 053817,,-$21.84,"$5,078.06"
03/19/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 34012887 012887,,-$83.52,"$4,994.54"
03/19/2024,CAPITAL ONE MOBILE PMT 3X5BD8V9Q22W8UA,,-$200.33,"$4,794.21"
03/22/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 34928876 028876,,-$59.18,"$4,735.03"
03/27/2024,XX7834 POS PURCHASE 3488 GREAT CLIPS LITTLE ROCK AR 03192463 034105,,-$18.99,"$4,716.04"
03/28/2024,XX7834 POS PURCHASE WL *Steam Purcha 425-9522985 WA 00000007 002155,,-$2.99,"$4,713.05"
03/28/2024,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 329614,,-$26.94,"$4,686.11"
03/29/2024,TELCOE FEDERAL C PAYROLL 06784900045209X,,$526.42,"$5,212.53"
04/01/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 38583230 083230,,-$52.07,"$5,160.46"
04/01/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 40765320 065320,,-$74.98,"$5,085.48"
04/03/2024,XX7834 POS PURCHASE GENESIS AUTO WAS LITTLE ROCK AR 00010001 019643,,-$18.00,"$5,067.48"
04/04/2024,XX7834 POS PURCHASE COSTCO GAS #1442 LITTLE ROCK AR 93144213 651068,,-$26.19,"$5,041.29"
04/08/2024,XX7834 POS PURCHASE AMZN Mktp US*5A9 Amzn.com/bill WA 00000000 041318,,-$9.58,"$5,031.71"
04/08/2024,XX7834 POS PURCHASE AMAZON.COM*R58TI SEATTLE WA 00000000 069377,,-$10.06,"$5,021.65"
04/08/2024,XX7834 POS PURCHASE KROGER #623 LITTLE ROCK AR 38576481 076481,,-$54.13,"$4,967.52"
